,Opposition,Distance,HSR,Sprint,Accelerations,Decelerations,Jumps,match_id,season_name,team,opposition_team,goals_scored,goals_conceded,np_xg,np_xg_conceded,shots,shots_on_target,opposition_shots,opposition_shots_on_target,passes,opposition_passes,completed_passes_into_the_box,pressures,pressure_regains,fouls,tackles,yellow_cards,xg_within_8_seconds_of_corner,xg_conceded_within_8_seconds_of_corner,shots_within_8_seconds_of_corner,shots_conceded_within_8_seconds_of_corner,goals_within_8_seconds_of_corner,goals_conceded_within_8_seconds_of_corner,xg_within_8_seconds_of_indirect_free_kick,xg_conceded_within_8_seconds_of_indirect_free_kick,shots_within_8_seconds_of_indirect_free_kick,shots_conceded_within_8_seconds_of_indirect_free_kick,goals_within_8_seconds_of_indirect_free_kick,goals_conceded_within_8_seconds_of_indirect_free_kick,possession,final_third_possession,ppda,completed_passes_and_carries_into_final_third,match_outcome,date,monte_carlo_win_prob,monte_carlo_draw_prob,monte_carlo_loss_prob,location,lineup
88,Blackburn,108072,6594,1360,301,416,43,3803259,2122,Coventry City,Blackburn Rovers,2,2,0.95687961,0.8686308,12,4,10,3,447,408,10,178,32,19,29,2,0.0420011,0.0870287,1,1,0,1,0,0,0,0,0,0,52,41,4.794117647,43,draw,02/04/2022,0.3612,0.3382,0.3006,home,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 106.05}, {'player_id': 4179, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 106.05}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 106.05}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.1167}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 106.05}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 106.05}, {'player_id': 10460, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 106.05}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 106.05}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 106.05}, {'player_id': 29363, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 106.05}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing', 'minutes_played': 10.9333}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 106.05}, {'player_id': 134012, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
89,Notts Forest ,109115,8432,1598,317,445,19,3803513,2122,Coventry City,Nottingham Forest,0,2,1.0055382,1.97791885,13,5,18,3,452,522,10,228,49,10,29,3,0,0.6474934,0,4,0,0,0,0,0,0,0,0,46,52,10.3125,43,lost,06/04/2022,0.1671,0.2191,0.6138,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 100.033}, {'player_id': 4179, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 71.9}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 100.033}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 100.033}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 100.033}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 100.033}, {'player_id': 10460, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 86.4667}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 100.033}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 100.033}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 71.9167}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 100.033}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 28.1167}, {'player_id': 39092, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing Back', 'minutes_played': 28.1333}, {'player_id': 134012, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Defensive Midfield', 'minutes_played': 13.5667}]"
90,Fulham,109066,7109,1580,290,430,35,3803361,2122,Coventry City,Fulham,3,1,2.8404009,2.50472862,18,4,27,7,320,577,7,160,30,14,13,4,0.9833817,0.192184,6,1,1,0,0.4360713,0.217041,3,2,0,0,36,37,14.16666667,29,won,10/04/2022,0.4418,0.2206,0.3376,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 95.3167}, {'player_id': 4179, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.3167}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 95.3167}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.3167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 95.3167}, {'player_id': 10460, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 95.3167}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 95.3167}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 95.3167}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 95.3167}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 95.3167}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 32261, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 95.3167}, {'player_id': 47880, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 134012, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
91,Birmingham,105381,6858,1411,288,373,45,3803333,2122,Coventry City,Birmingham City,4,2,2.6116162,0.9145075,14,6,12,2,464,426,8,246,38,6,20,0,0.5923442,0.4270899,5,4,2,1,0.587281,0,1,0,1,0,52,53,7.2,42,won,15/04/2022,0.738,0.1747,0.0873,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 100.333}, {'player_id': 4179, 'squad_role': 'Substitution - On (Injury)', 'position': 'Right Wing Back', 'minutes_played': 33.4833}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 100.333}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 66.85}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 100.333}, {'player_id': 9709, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Back', 'minutes_played': 13.25}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 100.333}, {'player_id': 10460, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 8.36667}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 87.0833}, {'player_id': 15811, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 18288, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 100.333}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 100.333}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 100.333}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 100.333}, {'player_id': 32261, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 91.9667}]"
92,Bournemouth,110438,6419,1174,259,370,25,3803007,2122,Coventry City,AFC Bournemouth,0,3,0.7380381,0.9911078,11,4,5,3,624,487,12,163,27,17,14,0,0.2421388,0,3,0,0,0,0,0,0,0,0,0,56,70,10.93103448,39,lost,18/04/2022,0.2415,0.3438,0.4147,home,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 63.7667}, {'player_id': 4179, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 95.2667}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.2667}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 63.7667}, {'player_id': 9709, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Center Back', 'minutes_played': 31.8667}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 95.2667}, {'player_id': 10460, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Midfield', 'minutes_played': 31.75}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 77.8167}, {'player_id': 15811, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 17.45}, {'player_id': 18288, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 95.2667}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 95.2667}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 95.2667}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 95.2667}, {'player_id': 32261, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 95.2667}, {'player_id': 134012, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
93,West Brom,113056,8241,1811,286,392,31,3803200,2122,Coventry City,West Bromwich Albion,0,0,0.70686094,0.9526388,10,3,11,1,531,482,9,128,27,13,19,1,0,0.3413892,0,5,0,0,0,0,0,0,0,0,52,48,12.26086957,50,draw,23/04/2022,0.1008,0.2276,0.6716,away,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 97.8333}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 97.8333}, {'player_id': 4179, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 97.8333}, {'player_id': 4576, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 8998, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 97.8333}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 97.8333}, {'player_id': 10460, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Attacking Midfield', 'minutes_played': 32.2333}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 82.1}, {'player_id': 15542, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15811, 'squad_role': 'Substitution - On (Injury)', 'position': 'Left Center Midfield', 'minutes_played': 16.1333}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 66.0}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 97.8333}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 97.8333}, {'player_id': 29405, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 97.8333}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 97.8333}]"
94,Huddersfield,108715,6969,1349,311,360,25,3803366,2122,Coventry City,Huddersfield Town,1,2,2.20062052,1.0323019,22,9,6,3,637,429,19,160,34,12,16,1,0.14866165,0,4,0,0,0,0.2990206,0,2,0,0,0,60,81,10.88461538,73,lost,30/04/2022,0.4632,0.2527,0.2841,home,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 97.8667}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 97.8667}, {'player_id': 4179, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 72.5833}, {'player_id': 4576, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 97.8667}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 97.8667}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 97.8667}, {'player_id': 10460, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 72.6333}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 79.45}, {'player_id': 15542, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 18288, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 18.55}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 97.8667}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 97.8667}, {'player_id': 29405, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 25.2833}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 97.8667}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 25.2333}, {'player_id': 39092, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
95,Southampton,,,,,,,,2122,Coventry City,Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/05/2022,,,,away,[]
96,Stoke,108654,7237,1568,279,362,26,3803170,2122,Coventry City,Stoke City,1,1,1.7275545,0.7438196,17,4,9,2,547,421,9,131,22,12,19,2,0.0807298,0,1,0,0,0,0,0.160679,0,1,0,0,57,62,7.25,45,draw,07/05/2022,0.6423,0.2235,0.1342,away,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 99.3167}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 99.3167}, {'player_id': 4179, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 64.9833}, {'player_id': 4576, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 8998, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9422, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing', 'minutes_played': 17.5333}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 99.3167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 99.3167}, {'player_id': 10460, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10781, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 76.1}, {'player_id': 15542, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 99.3167}, {'player_id': 15811, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 99.3167}, {'player_id': 18288, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing', 'minutes_played': 24.6167}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 82.15}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 99.3167}, {'player_id': 29405, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 34.6}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 99.3167}]"
97,Sunderland,106615,8571,1762,295,359,28,3843867,2223,Coventry City,Sunderland,1,1,0.699097,0.5653093,9,2,10,5,546,345,5,135,21,7,20,1,0,0.123969,0,2,0,0,0.0327934,0.0551765,1,1,0,0,61,60,7.083333333,49,draw,31/07/2022,0.3455,0.4054,0.2491,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3317, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Center Midfield', 'minutes_played': 32.8667}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 62.5}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.1833}, {'player_id': 7847, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 21.6333}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 95.1833}, {'player_id': 9276, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Forward', 'minutes_played': 20.9167}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 74.2667}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 74.2667}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 95.1833}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 95.1833}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 95.1833}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 95.1833}, {'player_id': 29405, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 74.2667}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29839, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.1833}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Back', 'minutes_played': 21.65}, {'player_id': 48708, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
98,Derby County,,,,,,,,2122,Coventry City,Derby County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/08/2022,,,,home,[]
99,Millwall,99958,7818,1922,274,323,38,3843887,2223,Coventry City,Millwall,2,3,1.59143359,1.7299637,16,7,13,6,440,363,5,93,20,16,12,3,0.8604202,0.155812,4,3,1,0,0,0.6884685,0,5,0,1,55,49,4.5,32,lost,13/08/2022,0.3391,0.2799,0.381,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3317, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 102.15}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 102.15}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 102.15}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 102.15}, {'player_id': 9276, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 94.9}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 102.15}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 102.15}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 72.4833}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 102.15}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 102.15}, {'player_id': 29405, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 7.75}, {'player_id': 29839, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 94.9}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Attacking Midfield', 'minutes_played': 7.96667}, {'player_id': 47879, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 48708, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
100,Hull,106381,5831,967,331,360,26,3843918,2223,Coventry City,Hull City,2,3,1.3549692,2.995579,13,4,9,4,527,364,8,148,21,7,27,2,0.691774,0.105276,2,2,1,0,0,0.0243713,0,1,0,0,59,57,5.53125,48,lost,27/08/2022,0.1615,0.2187,0.6198,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3317, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 72.4}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 103.183}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 103.183}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 72.3833}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 103.183}, {'player_id': 9276, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Back', 'minutes_played': 13.4833}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 103.183}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 89.7}, {'player_id': 10460, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Attacking Midfield', 'minutes_played': 30.7833}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 103.183}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 103.183}, {'player_id': 29405, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 31.65}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 103.183}, {'player_id': 29839, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 72.3833}, {'player_id': 32261, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 47879, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 48708, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Center Back', 'minutes_played': 31.5167}]"
101,Preston,101331,7263,1260,289,383,21,3843939,2223,Coventry City,Preston North End,0,1,0.71780816,1.7977287,13,3,13,4,485,429,3,152,18,7,16,1,0.0654244,0.3417881,1,3,0,0,0,0,0,0,0,0,53,57,4.340909091,46,lost,31/08/2022,0.1333,0.2471,0.6196,home,"[{'player_id': 3299, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.35}, {'player_id': 3317, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Attacking Midfield', 'minutes_played': 28.3}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 96.35}, {'player_id': 4576, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 7847, 'squad_role': 'Substitution - On (Injury)', 'position': 'Right Wing Back', 'minutes_played': 29.2167}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 96.35}, {'player_id': 9276, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 96.35}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 96.35}, {'player_id': 10460, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 68.05}, {'player_id': 15304, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 28.3167}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 96.35}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 68.0333}, {'player_id': 29405, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 68.0333}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 90.0}, {'player_id': 29839, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Back', 'minutes_played': 6.63333}, {'player_id': 48708, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.35}]"
